Activity Date,Year,Month,day,weekday,Elapsed Time,Moving Time,Distance,Max Heart Rate,Average Heart Rate,Activity Gear,Max Speed,Average Speed,Max Cadence,Average Cadence,Calories
2025-02-15 08:00:17,2025,2,15,5,1478,1478.0,5.01,187.0,175.0,HOKA Mach 6 Biel,18.36,12.222,90.0,83.0,420.0
2025-02-17 16:56:08,2025,2,17,0,2808,2720.0,7.54,167.0,151.0,HOKA Clifton 9 Pomarańcz,26.928,9.979199999999999,113.0,79.0,628.0
2025-02-19 16:17:05,2025,2,19,2,7792,7647.0,21.53,159.0,143.0,HOKA Clifton 9 Pomarańcz,14.904,10.137599999999999,87.0,80.0,1757.0
2025-02-22 07:46:26,2025,2,22,5,579,579.0,1.58,144.0,137.0,HOKA Mach 6 Biel,14.688,9.8496,83.0,80.0,129.0
2025-02-22 08:02:26,2025,2,22,5,1466,1466.0,5.01,179.0,167.0,HOKA Mach 6 Biel,19.944,12.3228,96.0,84.0,406.0
2025-02-23 16:30:20,2025,2,23,6,2717,2404.0,7.12,165.0,153.0,HOKA Bondi 8 Błękit,13.392000000000001,10.6704,84.0,80.0,588.0
2025-03-01 08:18:46,2025,3,1,5,373,373.0,1.02,148.0,137.0,HOKA Mach 6 Biel,12.24,9.8892,82.0,79.0,82.0
2025-03-01 08:32:30,2025,3,1,5,1452,1452.0,5.03,184.0,171.0,HOKA Mach 6 Biel,27.936,12.4776,103.0,83.0,409.0
2025-03-06 09:17:58,2025,3,6,3,2619,1833.0,5.03,164.0,146.0,HOKA Clifton 9 Pomarańcz,12.24,9.878400000000001,83.0,79.0,413.0
2025-03-08 07:44:51,2025,3,8,5,557,557.0,1.45,161.0,144.0,HOKA Mach 6 Biel,10.944,9.370800000000001,111.0,80.0,129.0
2025-03-08 08:00:12,2025,3,8,5,1460,1460.0,5.00,186.0,178.0,HOKA Mach 6 Biel,19.008000000000003,12.3408,89.0,83.0,431.0
2025-03-09 10:49:43,2025,3,9,6,11736,9440.0,25.01,166.0,137.0,HOKA Bondi 8 Błękit,12.384,9.54,85.0,79.0,2092.0
2025-03-15 07:51:39,2025,3,15,5,388,388.0,1.00,150.0,136.0,HOKA Mach 6 Biel,12.168,9.2736,82.0,77.0,84.0
2025-03-15 08:01:40,2025,3,15,5,1479,1479.0,5.01,187.0,176.0,HOKA Mach 6 Biel,18.215999999999998,12.1968,90.0,83.0,430.0
2025-03-22 07:40:54,2025,3,22,5,815,815.0,2.12,150.0,139.0,HOKA Mach 6 Biel,11.952,9.3888,83.0,79.0,184.0
2025-03-22 08:01:10,2025,3,22,5,1408,1408.0,5.01,188.0,175.0,HOKA Mach 6 Biel,25.632,12.8088,107.0,85.0,413.0
2025-03-24 12:54:42,2025,3,24,0,7392,6491.0,19.01,165.0,154.0,HOKA Mach 6 Biel,13.248000000000001,10.548,122.0,81.0,1572.0
2025-03-25 19:21:00,2025,3,25,1,325,325.0,1.01,149.0,138.0,HOKA Mach 6 Biel,28.224,11.232000000000001,113.0,82.0,74.0
2025-03-31 14:56:24,2025,3,31,0,2342,2188.0,6.38,165.0,153.0,HOKA Bondi 8 Błękit,13.464,10.504800000000001,84.0,80.0,545.0
2025-04-06 06:46:02,2025,4,6,6,266,266.0,0.63,149.0,139.0,HOKA Mach 6 Biel,10.728,8.6112,88.0,80.0,54.0
2025-04-06 07:04:28,2025,4,6,6,17552,17286.0,42.57,179.0,156.0,HOKA Mach 6 Biel,28.152,8.866800000000001,122.0,80.0,3605.0
2025-04-10 16:25:07,2025,4,10,3,2402,2101.0,7.05,175.0,160.0,HOKA Bondi 8 Błękit,15.984000000000002,12.0888,90.0,84.0,559.0
2025-04-12 06:49:14,2025,4,12,5,360,360.0,0.96,149.0,130.0,HOKA Mach 6 Biel,12.096,9.6372,82.0,80.0,81.0
2025-04-12 07:03:05,2025,4,12,5,1487,1487.0,5.00,183.0,172.0,HOKA Mach 6 Biel,21.6,12.1248,95.0,83.0,426.0
2025-04-14 15:52:38,2025,4,14,0,3030,2762.0,8.50,172.0,159.0,HOKA Bondi 8 Błękit,14.184,11.088000000000001,86.0,80.0,730.0
2025-04-15 17:02:40,2025,4,15,1,2694,2369.0,6.63,161.0,145.0,HOKA Bondi 8 Błękit,17.352,10.0764,87.0,79.0,566.0
2025-04-19 06:47:51,2025,4,19,5,445,445.0,1.16,140.0,129.0,HOKA Mach 6 Biel,11.304,9.450000000000001,82.0,79.0,97.0
2025-04-19 07:01:52,2025,4,19,5,1440,1440.0,5.00,181.0,165.0,HOKA Mach 6 Biel,26.424,12.51,110.0,84.0,410.0
2025-04-22 15:08:01,2025,4,22,1,3342,3207.0,9.68,171.0,153.0,HOKA Mach 6 Biel,16.344,10.8756,115.0,79.0,793.0
2025-04-26 18:36:28,2025,4,26,5,6797,6797.0,21.28,176.0,164.0,HOKA Mach 6 Biel,24.840000000000003,11.2716,101.0,82.0,1784.0
2025-04-29 18:25:15,2025,4,29,1,3271,3268.0,9.85,171.0,154.0,HOKA Bondi 8 Błękit,16.56,10.8576,109.0,78.0,823.0
2025-05-05 13:48:07,2025,5,5,0,1714,1711.0,5.31,173.0,156.0,HOKA Bondi 8 Błękit,15.912,11.185200000000002,88.0,80.0,440.0
2025-05-11 00:00:39,2025,5,11,6,762,762.0,2.63,174.0,164.0,HOKA Mach 6 Biel,23.976000000000003,12.4524,102.0,85.0,203.0
2025-05-10 23:03:04,2025,5,10,5,1340,1340.0,4.70,180.0,171.0,HOKA Mach 6 Biel,17.496000000000002,12.636,87.0,83.0,381.0
2025-05-17 10:00:56,2025,5,17,5,1575,1575.0,5.17,184.0,175.0,HOKA Mach 6 Biel,21.456,11.8368,100.0,83.0,442.0
2025-05-24 06:48:04,2025,5,24,5,560,560.0,1.45,143.0,127.0,HOKA Mach 6 Biel,11.016,9.3204,83.0,82.0,118.0
2025-05-24 07:03:03,2025,5,24,5,1414,1414.0,5.00,186.0,174.0,HOKA Mach 6 Biel,24.624,12.744,102.0,85.0,404.0
2025-05-26 15:07:33,2025,5,26,0,2523,2350.0,7.32,177.0,157.0,HOKA Bondi 8 Błękit,16.56,11.2212,88.0,81.0,602.0
2025-06-09 16:41:00,2025,6,9,0,2441,2317.0,7.08,178.0,163.0,HOKA Bondi 8 Błękit,15.696000000000002,11.0016,86.0,80.0,594.0
2025-06-14 06:37:16,2025,6,14,5,457,457.0,1.22,153.0,141.0,HOKA Mach 6 Biel,11.520000000000001,9.6084,82.0,79.0,102.0
2025-06-14 07:04:31,2025,6,14,5,1432,1432.0,5.00,185.0,177.0,HOKA Mach 6 Biel,21.744,12.5784,92.0,83.0,411.0
2025-06-19 16:02:26,2025,6,19,3,1946,1946.0,5.55,161.0,147.0,HOKA Bondi 8 Błękit,13.536,10.278,84.0,79.0,465.0
2025-06-20 22:04:47,2025,6,20,4,2910,2910.0,10.01,185.0,174.0,HOKA Mach 6 Biel,21.096,12.387599999999999,89.0,81.0,821.0
