Activity Date,Year,Month,day,weekday,Elapsed Time,Moving Time,Distance,Max Heart Rate,Average Heart Rate,Activity Gear,Max Speed,Average Speed,Max Cadence,Average Cadence,Calories
2025-06-15 15:35:15,2025,6,15,6,2225,1337.0,7.18,157.0,136.0,Czarna strzała,60.40800000000001,19.332,,,341.0
2025-06-17 05:29:23,2025,6,17,1,3530,3220.0,20.79,154.0,135.0,Czarna strzała,41.328,23.248800000000003,,,612.0
2025-06-17 09:16:02,2025,6,17,1,2562,1786.0,9.50,139.0,105.0,Czarna strzała,30.96,19.159200000000002,,,227.0
2025-06-17 11:37:55,2025,6,17,1,519,445.0,1.75,139.0,113.0,Czarna strzała,23.759999999999998,14.202,,,71.0
2025-06-17 12:03:47,2025,6,17,1,434,434.0,2.22,132.0,114.0,Czarna strzała,29.4012,18.4788,,,61.0
2025-06-17 14:37:43,2025,6,17,1,405,405.0,1.74,118.0,91.0,Czarna strzała,20.8296,15.462,,,33.0
2025-06-17 15:15:51,2025,6,17,1,369,369.0,1.97,106.0,94.0,Czarna strzała,36.648,19.256400000000003,,,33.0
2025-06-26 05:41:30,2025,6,26,3,3316,3076.0,21.00,159.0,134.0,Czarna strzała,46.440000000000005,24.5808,,,577.0
2025-06-26 13:34:01,2025,6,26,3,3878,3254.0,19.24,172.0,117.0,Czarna strzała,43.632,21.290399999999998,,,495.0
2025-07-01 18:24:42,2025,7,1,1,3646,3353.0,20.00,161.0,136.0,Czarna strzała,46.080000000000005,21.481199999999998,84.0,60.0,640.0
2025-07-02 07:56:07,2025,7,2,2,1257,1043.0,7.08,157.0,131.0,Czarna strzała,51.7788,24.462,101.0,63.0,228.0
2025-07-02 11:10:58,2025,7,2,2,30570,20056.0,133.89,173.0,141.0,Czarna strzała,44.64,24.0336,98.0,66.0,3491.0
2025-07-06 10:30:30,2025,7,6,6,1846,1846.0,15.59,157.0,147.0,Czarna strzała,38.1096,30.419999999999998,76.0,59.0,437.0
2025-07-13 10:38:40,2025,7,13,6,2107,2107.0,17.89,174.0,167.0,Czarna strzała,56.448,30.5676,104.0,64.0,574.0
2025-07-15 05:48:00,2025,7,15,1,3497,3186.0,21.05,152.0,134.0,Czarna strzała,46.080000000000005,23.7888,85.0,59.0,587.0
2025-07-15 14:29:25,2025,7,15,1,4409,3550.0,19.53,160.0,123.0,Czarna strzała,35.028000000000006,19.8144,108.0,60.0,547.0
2025-07-18 04:37:36,2025,7,18,4,3177,2834.0,20.17,155.0,133.0,Czarna strzała,41.04,25.6248,81.0,62.0,522.0
2025-07-27 08:51:35,2025,7,27,6,8593,7530.0,50.12,169.0,148.0,Czarna strzała,48.744,23.9616,96.0,66.0,1484.0
2025-07-30 16:42:01,2025,7,30,2,3774,3718.0,26.37,159.0,147.0,Czarna strzała,49.86,25.5312,99.0,69.0,796.0
2025-07-30 18:53:56,2025,7,30,2,534,534.0,3.23,153.0,140.0,Czarna strzała,30.0132,21.78,95.0,66.0,119.0
2025-07-30 19:48:51,2025,7,30,2,815,685.0,3.03,163.0,139.0,Czarna strzała,34.2,15.93,95.0,56.0,145.0
2025-08-04 14:14:35,2025,8,4,0,7559,7113.0,50.15,164.0,144.0,Czarna strzała,56.304,25.3836,97.0,67.0,1325.0
2025-08-04 16:26:28,2025,8,4,0,2212,1790.0,10.24,147.0,130.0,Czarna strzała,35.496,20.6028,95.0,58.0,314.0
2025-08-10 07:24:36,2025,8,10,6,5799,5799.0,44.16,166.0,152.0,Czarna strzała,39.6,27.414,94.0,71.0,1097.0
2025-08-17 09:31:28,2025,8,17,6,566,505.0,3.70,152.0,137.0,Czarna strzała,52.488,26.3952,97.0,65.0,119.0
2025-08-17 15:42:56,2025,8,17,6,740,598.0,2.81,152.0,134.0,Czarna strzała,34.3548,16.956,105.0,57.0,119.0
2025-08-17 11:14:33,2025,8,17,6,14109,8756.0,60.17,153.0,133.0,Czarna strzała,63.864,24.7392,99.0,66.0,1437.0
2025-08-21 05:47:07,2025,8,21,3,3637,3225.0,20.97,156.0,141.0,Czarna strzała,48.9132,23.410800000000002,89.0,62.0,638.0
2025-08-21 15:02:58,2025,8,21,3,5812,4465.0,22.50,167.0,126.0,Czarna strzała,38.376000000000005,18.144000000000002,105.0,62.0,696.0
2025-08-27 12:51:54,2025,8,27,2,13441,11412.0,72.61,163.0,143.0,Czarna strzała,49.608,22.9068,113.0,68.0,2005.0
2025-09-01 04:50:57,2025,9,1,0,3467,3247.0,21.04,154.0,133.0,Czarna strzała,40.3812,23.3352,90.0,61.0,571.0
2025-09-01 14:11:43,2025,9,1,0,903,845.0,3.44,145.0,108.0,Czarna strzała,30.661199999999997,14.6664,105.0,61.0,117.0
2025-09-01 14:58:13,2025,9,1,0,6990,5669.0,27.07,157.0,121.0,Czarna strzała,43.8696,17.1936,95.0,60.0,781.0
2025-09-02 05:23:44,2025,9,2,1,3865,3599.0,21.69,150.0,130.0,Czarna strzała,47.2212,21.7044,96.0,64.0,584.0
2025-09-02 14:36:51,2025,9,2,1,3614,2986.0,16.39,155.0,127.0,Czarna strzała,43.92,19.764000000000003,93.0,64.0,508.0
2025-09-07 08:43:14,2025,9,7,6,12351,11863.0,90.12,155.0,137.0,Czarna strzała,52.56,27.349200000000003,98.0,74.0,1630.0
